Match Number,Round Number,Date,Location,Home Team,Away Team,Result
90,2,30/10/2022 22:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New York Knicks,121 - 108
91,2,30/10/2022 22:00,Little Caesars Arena,Detroit Pistons,Golden State Warriors,128 - 114
92,2,30/10/2022 23:00,AT&T Center,San Antonio Spurs,Minnesota Timberwolves,107 - 98
93,2,30/10/2022 23:30,American Airlines Center,Dallas Mavericks,Orlando Magic,114 - 105
94,2,31/10/2022 01:00,Footprint Center,Phoenix Suns,Houston Rockets,124 - 109
95,2,31/10/2022 01:30,Crypto.com Arena,Los Angeles Lakers,Denver Nuggets,121 - 110
96,2,31/10/2022 23:00,Spectrum Center,Charlotte Hornets,Sacramento Kings,108 - 115
97,2,31/10/2022 23:00,Capital One Arena,Washington Wizards,Philadelphia 76ers,111 - 118
98,2,31/10/2022 23:30,Barclays Center,Brooklyn Nets,Indiana Pacers,116 - 109
99,2,31/10/2022 23:30,Scotiabank Arena,Toronto Raptors,Atlanta Hawks,139 - 109
100,2,01/11/2022 00:00,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,110 - 108
101,2,01/11/2022 01:00,Vivint Arena,Utah Jazz,Memphis Grizzlies,121 - 105
102,2,01/11/2022 02:30,Crypto.com Arena,LA Clippers,Houston Rockets,95 - 93
103,2,01/11/2022 23:30,Barclays Center,Brooklyn Nets,Chicago Bulls,99 - 108
104,2,01/11/2022 23:30,Miami-Dade Arena,Miami Heat,Golden State Warriors,116 - 109
105,2,02/11/2022 00:00,Paycom Center,Oklahoma City Thunder,Orlando Magic,116 - 108
106,2,02/11/2022 02:00,Footprint Center,Phoenix Suns,Minnesota Timberwolves,116 - 107
108,2,02/11/2022 22:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,111 - 121
107,2,02/11/2022 23:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Boston Celtics,114 - 113
109,2,02/11/2022 23:30,Miami-Dade Arena,Miami Heat,Sacramento Kings,110 - 107
110,2,02/11/2022 23:30,Madison Square Garden,New York Knicks,Atlanta Hawks,99 - 112
111,2,03/11/2022 00:00,United Center,Chicago Bulls,Charlotte Hornets,106 - 88
112,2,03/11/2022 00:00,Toyota Center,Houston Rockets,LA Clippers,101 - 109
113,2,03/11/2022 00:00,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,116 - 91
114,2,03/11/2022 00:00,AT&T Center,San Antonio Spurs,Toronto Raptors,100 - 143
115,2,03/11/2022 00:30,American Airlines Center,Dallas Mavericks,Utah Jazz,103 - 100
116,2,03/11/2022 02:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,106 - 111
117,2,03/11/2022 02:30,Crypto.com Arena,Los Angeles Lakers,New Orleans Pelicans,120 - 117
118,3,03/11/2022 23:00,Amway Center,Orlando Magic,Golden State Warriors,130 - 129
119,3,04/11/2022 00:00,Paycom Center,Oklahoma City Thunder,Denver Nuggets,110 - 122
120,3,04/11/2022 23:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,88 - 112
121,3,04/11/2022 23:00,Gainbridge Fieldhouse,Indiana Pacers,Miami Heat,101 - 99
122,3,04/11/2022 23:00,Wells Fargo Center,Philadelphia 76ers,New York Knicks,104 - 106
123,3,04/11/2022 23:00,Capital One Arena,Washington Wizards,Brooklyn Nets,86 - 128
124,3,04/11/2022 23:30,TD Garden,Boston Celtics,Chicago Bulls,123 - 119
125,3,05/11/2022 00:00,FedExForum,Memphis Grizzlies,Charlotte Hornets,130 - 99
126,3,05/11/2022 00:00,AT&T Center,San Antonio Spurs,LA Clippers,106 - 113
127,3,05/11/2022 00:30,American Airlines Center,Dallas Mavericks,Toronto Raptors,111 - 110
128,3,05/11/2022 00:30,Smoothie King Center,New Orleans Pelicans,Golden State Warriors,114 - 105
129,3,05/11/2022 02:00,Target Center,Minnesota Timberwolves,Milwaukee Bucks,102 - 115
130,3,05/11/2022 02:00,Footprint Center,Phoenix Suns,Portland Trail Blazers,106 - 108
131,3,05/11/2022 02:30,Crypto.com Arena,Los Angeles Lakers,Utah Jazz,116 - 130
132,3,05/11/2022 21:00,Amway Center,Orlando Magic,Sacramento Kings,123 - 126
133,3,05/11/2022 23:00,Spectrum Center,Charlotte Hornets,Brooklyn Nets,94 - 98
134,3,05/11/2022 23:30,State Farm Arena,Atlanta Hawks,New Orleans Pelicans,124 - 121
135,3,05/11/2022 23:30,Madison Square Garden,New York Knicks,Boston Celtics,118 - 133
136,3,06/11/2022 00:00,Fiserv Forum,Milwaukee Bucks,Oklahoma City Thunder,108 - 94
137,3,06/11/2022 00:00,Target Center,Minnesota Timberwolves,Houston Rockets,129 - 117
138,3,06/11/2022 01:00,Ball Arena,Denver Nuggets,San Antonio Spurs,126 - 101
139,3,06/11/2022 02:00,Footprint Center,Phoenix Suns,Portland Trail Blazers,102 - 82
140,3,06/11/2022 20:30,Crypto.com Arena,Los Angeles Lakers,Cleveland Cavaliers,100 - 114
141,3,06/11/2022 23:00,Scotiabank Arena,Toronto Raptors,Chicago Bulls,113 - 104
142,3,06/11/2022 23:00,FedExForum,Memphis Grizzlies,Washington Wizards,103 - 97
143,3,07/11/2022 03:00,Crypto.com Arena,LA Clippers,Utah Jazz,102 - 110
144,3,08/11/2022 00:00,Spectrum Center,Charlotte Hornets,Washington Wizards,100 - 108
145,3,08/11/2022 00:13,Amway Center,Orlando Magic,Houston Rockets,127 - 134
146,3,08/11/2022 00:30,Little Caesars Arena,Detroit Pistons,Oklahoma City Thunder,112 - 103
147,3,08/11/2022 00:45,Gainbridge Fieldhouse,Indiana Pacers,New Orleans Pelicans,129 - 122
148,3,08/11/2022 01:00,Wells Fargo Center,Philadelphia 76ers,Phoenix Suns,100 - 88
149,3,08/11/2022 01:13,State Farm Arena,Atlanta Hawks,Milwaukee Bucks,117 - 98
150,3,08/11/2022 01:30,Miami-Dade Arena,Miami Heat,Portland Trail Blazers,107 - 110
151,3,08/11/2022 01:45,United Center,Chicago Bulls,Toronto Raptors,111 - 97
152,3,08/11/2022 02:00,FedExForum,Memphis Grizzlies,Boston Celtics,106 - 109
153,3,08/11/2022 02:13,Target Center,Minnesota Timberwolves,New York Knicks,107 - 120
154,3,08/11/2022 02:30,AT&T Center,San Antonio Spurs,Denver Nuggets,109 - 115
155,3,08/11/2022 02:45,American Airlines Center,Dallas Mavericks,Brooklyn Nets,96 - 94
156,3,08/11/2022 03:00,Chase Center,Golden State Warriors,Sacramento Kings,116 - 113
157,3,08/11/2022 03:13,Vivint Arena,Utah Jazz,Los Angeles Lakers,139 - 116
158,3,08/11/2022 03:30,Crypto.com Arena,LA Clippers,Cleveland Cavaliers,119 - 117
161,3,09/11/2022 22:30,Amway Center,Orlando Magic,Dallas Mavericks,94 - 87
159,3,10/11/2022 00:00,Spectrum Center,Charlotte Hornets,Portland Trail Blazers,95 - 105
160,3,10/11/2022 00:00,Gainbridge Fieldhouse,Indiana Pacers,Denver Nuggets,119 - 122
162,3,10/11/2022 00:30,State Farm Arena,Atlanta Hawks,Utah Jazz,119 - 125
163,3,10/11/2022 00:30,TD Garden,Boston Celtics,Detroit Pistons,128 - 112
164,3,10/11/2022 00:30,Barclays Center,Brooklyn Nets,New York Knicks,112 - 85
165,3,10/11/2022 00:30,Scotiabank Arena,Toronto Raptors,Houston Rockets,116 - 109
166,3,10/11/2022 01:00,United Center,Chicago Bulls,New Orleans Pelicans,111 - 115
167,3,10/11/2022 01:00,Target Center,Minnesota Timberwolves,Phoenix Suns,117 - 129
168,3,10/11/2022 01:00,Paycom Center,Oklahoma City Thunder,Milwaukee Bucks,132 - 136
169,3,10/11/2022 01:00,AT&T Center,San Antonio Spurs,Memphis Grizzlies,122 - 124
170,3,10/11/2022 03:00,Crypto.com Arena,LA Clippers,Los Angeles Lakers,114 - 101
171,3,10/11/2022 03:00,Golden 1 Center,Sacramento Kings,Cleveland Cavaliers,127 - 120
172,4,11/11/2022 00:00,Capital One Arena,Washington Wizards,Dallas Mavericks,113 - 105
173,4,11/11/2022 00:30,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,104 - 95
174,4,11/11/2022 00:30,Miami-Dade Arena,Miami Heat,Charlotte Hornets,117 - 112
175,4,11/11/2022 01:00,Smoothie King Center,New Orleans Pelicans,Portland Trail Blazers,95 - 106
176,4,12/11/2022 00:00,TD Garden,Boston Celtics,Denver Nuggets,131 - 112
177,4,12/11/2022 00:00,Amway Center,Orlando Magic,Phoenix Suns,114 - 97
178,4,12/11/2022 00:30,Madison Square Garden,New York Knicks,Detroit Pistons,121 - 112
179,4,12/11/2022 01:00,Paycom Center,Oklahoma City Thunder,Toronto Raptors,132 - 113
180,4,12/11/2022 01:00,AT&T Center,San Antonio Spurs,Milwaukee Bucks,111 - 93
181,4,12/11/2022 02:30,FedExForum,Memphis Grizzlies,Minnesota Timberwolves,114 - 103
182,4,12/11/2022 03:00,Chase Center,Golden State Warriors,Cleveland Cavaliers,106 - 101
183,4,12/11/2022 03:30,Crypto.com Arena,Los Angeles Lakers,Sacramento Kings,114 - 120
184,4,12/11/2022 21:00,Crypto.com Arena,LA Clippers,Brooklyn Nets,95 - 110
185,4,12/11/2022 23:00,Capital One Arena,Washington Wizards,Utah Jazz,121 - 112
186,4,13/11/2022 00:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,108 - 117
187,4,13/11/2022 00:00,Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,118 - 104
188,4,13/11/2022 00:30,Wells Fargo Center,Philadelphia 76ers,Atlanta Hawks,121 - 109
189,4,13/11/2022 01:00,Miami-Dade Arena,Miami Heat,Charlotte Hornets,132 - 115
190,4,13/11/2022 01:30,American Airlines Center,Dallas Mavericks,Portland Trail Blazers,117 - 112
191,4,13/11/2022 01:30,Smoothie King Center,New Orleans Pelicans,Houston Rockets,119 - 106
192,4,13/11/2022 17:00,Madison Square Garden,New York Knicks,Oklahoma City Thunder,135 - 145
193,4,13/11/2022 23:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Minnesota Timberwolves,124 - 129
194,4,13/11/2022 23:00,Capital One Arena,Washington Wizards,Memphis Grizzlies,102 - 92
195,4,14/11/2022 00:30,Wells Fargo Center,Philadelphia 76ers,Utah Jazz,105 - 98
196,4,14/11/2022 01:00,United Center,Chicago Bulls,Denver Nuggets,103 - 126
197,4,14/11/2022 02:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,122 - 115
198,4,14/11/2022 02:30,Crypto.com Arena,Los Angeles Lakers,Brooklyn Nets,116 - 103
199,4,15/11/2022 00:00,Little Caesars Arena,Detroit Pistons,Toronto Raptors,111 - 115
200,4,15/11/2022 00:00,Amway Center,Orlando Magic,Charlotte Hornets,105 - 112
201,4,15/11/2022 00:30,TD Garden,Boston Celtics,Oklahoma City Thunder,126 - 122
202,4,15/11/2022 00:30,Miami-Dade Arena,Miami Heat,Phoenix Suns,113 - 112
203,4,15/11/2022 01:00,Toyota Center,Houston Rockets,LA Clippers,106 - 122
204,4,15/11/2022 01:00,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,106 - 121
205,4,15/11/2022 03:00,Chase Center,Golden State Warriors,San Antonio Spurs,132 - 95
206,4,16/11/2022 00:30,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,113 - 102
207,4,16/11/2022 01:30,American Airlines Center,Dallas Mavericks,LA Clippers,103 - 101
208,4,16/11/2022 02:00,Vivint Arena,Utah Jazz,New York Knicks,111 - 118
209,4,16/11/2022 03:00,Moda Center,Portland Trail Blazers,San Antonio Spurs,117 - 110
210,4,16/11/2022 03:00,Golden 1 Center,Sacramento Kings,Brooklyn Nets,153 - 121
211,4,17/11/2022 00:00,Spectrum Center,Charlotte Hornets,Indiana Pacers,113 - 125
212,4,17/11/2022 00:00,Amway Center,Orlando Magic,Minnesota Timberwolves,108 - 126
213,4,17/11/2022 00:00,Capital One Arena,Washington Wizards,Oklahoma City Thunder,120 - 121
214,4,17/11/2022 00:30,State Farm Arena,Atlanta Hawks,Boston Celtics,101 - 126
215,4,17/11/2022 00:30,Scotiabank Arena,Toronto Raptors,Miami Heat,112 - 104
216,4,17/11/2022 01:00,Fiserv Forum,Milwaukee Bucks,Cleveland Cavaliers,113 - 98
217,4,17/11/2022 01:00,Smoothie King Center,New Orleans Pelicans,Chicago Bulls,124 - 110
218,4,17/11/2022 01:30,American Airlines Center,Dallas Mavericks,Houston Rockets,92 - 101
219,4,17/11/2022 03:00,Ball Arena,Denver Nuggets,New York Knicks,103 - 106
220,4,17/11/2022 03:00,Footprint Center,Phoenix Suns,Golden State Warriors,130 - 119
221,5,18/11/2022 03:00,Moda Center,Portland Trail Blazers,Brooklyn Nets,107 - 109
222,5,18/11/2022 03:00,Golden 1 Center,Sacramento Kings,San Antonio Spurs,130 - 112
223,5,18/11/2022 03:30,Crypto.com Arena,LA Clippers,Detroit Pistons,96 - 91
224,5,19/11/2022 00:00,Capital One Arena,Washington Wizards,Miami Heat,107 - 106
225,5,19/11/2022 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Charlotte Hornets,132 - 122
226,5,19/11/2022 00:30,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,110 - 102
227,5,19/11/2022 01:00,United Center,Chicago Bulls,Orlando Magic,107 - 108
228,5,19/11/2022 01:00,Toyota Center,Houston Rockets,Indiana Pacers,91 - 99
229,5,19/11/2022 01:00,FedExForum,Memphis Grizzlies,Oklahoma City Thunder,121 - 110
230,5,19/11/2022 01:30,American Airlines Center,Dallas Mavericks,Denver Nuggets,127 - 99
231,5,19/11/2022 01:30,Smoothie King Center,New Orleans Pelicans,Boston Celtics,109 - 117
232,5,19/11/2022 02:00,Vivint Arena,Utah Jazz,Phoenix Suns,134 - 133
233,5,19/11/2022 03:00,Chase Center,Golden State Warriors,New York Knicks,111 - 101
234,5,19/11/2022 03:30,Crypto.com Arena,Los Angeles Lakers,Detroit Pistons,128 - 121
235,5,19/11/2022 23:00,State Farm Arena,Atlanta Hawks,Toronto Raptors,124 - 122
236,5,20/11/2022 00:00,Gainbridge Fieldhouse,Indiana Pacers,Orlando Magic,114 - 113
237,5,20/11/2022 00:30,Wells Fargo Center,Philadelphia 76ers,Minnesota Timberwolves,109 - 112
238,5,20/11/2022 03:00,Moda Center,Portland Trail Blazers,Utah Jazz,113 - 118
239,5,20/11/2022 03:30,Crypto.com Arena,LA Clippers,San Antonio Spurs,119 - 97
240,5,20/11/2022 20:30,Footprint Center,Phoenix Suns,New York Knicks,116 - 95
241,5,20/11/2022 23:00,Capital One Arena,Washington Wizards,Charlotte Hornets,106 - 102
242,5,20/11/2022 23:00,Golden 1 Center,Sacramento Kings,Detroit Pistons,137 - 129
243,5,21/11/2022 00:00,Barclays Center,Brooklyn Nets,Memphis Grizzlies,127 - 115
244,5,21/11/2022 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Miami Heat,113 - 87
245,5,21/11/2022 00:00,Toyota Center,Houston Rockets,Golden State Warriors,120 - 127
246,5,21/11/2022 00:30,American Airlines Center,Dallas Mavericks,Denver Nuggets,97 - 98
247,5,21/11/2022 02:30,Crypto.com Arena,Los Angeles Lakers,San Antonio Spurs,123 - 92
248,5,22/11/2022 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Atlanta Hawks,114 - 102
249,5,22/11/2022 00:00,Gainbridge Fieldhouse,Indiana Pacers,Orlando Magic,123 - 102
250,5,22/11/2022 01:00,United Center,Chicago Bulls,Boston Celtics,121 - 107
251,5,22/11/2022 01:00,Fiserv Forum,Milwaukee Bucks,Portland Trail Blazers,119 - 111
252,5,22/11/2022 01:00,Target Center,Minnesota Timberwolves,Miami Heat,105 - 101
253,5,22/11/2022 01:00,Smoothie King Center,New Orleans Pelicans,Golden State Warriors,128 - 83
254,5,22/11/2022 01:00,Paycom Center,Oklahoma City Thunder,New York Knicks,119 - 129
255,5,22/11/2022 03:30,Crypto.com Arena,LA Clippers,Utah Jazz,121 - 114
256,5,23/11/2022 00:30,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,115 - 106
257,5,23/11/2022 01:00,FedExForum,Memphis Grizzlies,Sacramento Kings,109 - 113
258,5,23/11/2022 02:00,Ball Arena,Denver Nuggets,Detroit Pistons,108 - 110
259,5,23/11/2022 03:00,Footprint Center,Phoenix Suns,Los Angeles Lakers,115 - 105
260,5,24/11/2022 00:00,Spectrum Center,Charlotte Hornets,Philadelphia 76ers,107 - 101
261,5,24/11/2022 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Portland Trail Blazers,114 - 96
262,5,24/11/2022 00:00,Gainbridge Fieldhouse,Indiana Pacers,Minnesota Timberwolves,101 - 115
263,5,24/11/2022 00:30,State Farm Arena,Atlanta Hawks,Sacramento Kings,115 - 106
264,5,24/11/2022 00:30,TD Garden,Boston Celtics,Dallas Mavericks,125 - 112
265,5,24/11/2022 00:30,Miami-Dade Arena,Miami Heat,Washington Wizards,113 - 105
266,5,24/11/2022 00:30,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,98 - 112
267,5,24/11/2022 01:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,113 - 118
268,5,24/11/2022 01:00,Paycom Center,Oklahoma City Thunder,Denver Nuggets,126 - 131
269,5,24/11/2022 01:00,AT&T Center,San Antonio Spurs,New Orleans Pelicans,110 - 129
270,5,24/11/2022 02:00,Vivint Arena,Utah Jazz,Detroit Pistons,116 - 125
271,5,24/11/2022 03:00,Chase Center,Golden State Warriors,LA Clippers,124 - 107
272,6,25/11/2022 22:00,Spectrum Center,Charlotte Hornets,Minnesota Timberwolves,110 - 108
273,6,26/11/2022 00:00,Amway Center,Orlando Magic,Philadelphia 76ers,99 - 107
274,6,26/11/2022 00:30,Madison Square Garden,New York Knicks,Portland Trail Blazers,129 - 132
275,6,26/11/2022 01:00,TD Garden,Boston Celtics,Sacramento Kings,122 - 104
276,6,26/11/2022 01:00,Gainbridge Fieldhouse,Indiana Pacers,Brooklyn Nets,128 - 117
277,6,26/11/2022 01:00,Miami-Dade Arena,Miami Heat,Washington Wizards,110 - 107
278,6,26/11/2022 01:00,Toyota Center,Houston Rockets,Atlanta Hawks,128 - 122
279,6,26/11/2022 01:00,FedExForum,Memphis Grizzlies,New Orleans Pelicans,132 - 111
280,6,26/11/2022 01:00,Fiserv Forum,Milwaukee Bucks,Cleveland Cavaliers,117 - 102
281,6,26/11/2022 01:00,Paycom Center,Oklahoma City Thunder,Chicago Bulls,123 - 119
282,6,26/11/2022 01:00,AT&T Center,San Antonio Spurs,Los Angeles Lakers,94 - 105
283,6,26/11/2022 02:00,Footprint Center,Phoenix Suns,Detroit Pistons,108 - 102
284,6,26/11/2022 03:00,Chase Center,Golden State Warriors,Utah Jazz,129 - 118
285,6,26/11/2022 03:30,Crypto.com Arena,LA Clippers,Denver Nuggets,104 - 114
286,6,26/11/2022 22:00,Scotiabank Arena,Toronto Raptors,Dallas Mavericks,105 - 100
287,6,27/11/2022 01:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,118 - 105
288,6,27/11/2022 01:00,AT&T Center,San Antonio Spurs,Los Angeles Lakers,138 - 143
289,6,27/11/2022 02:00,Footprint Center,Phoenix Suns,Utah Jazz,113 - 112
290,6,27/11/2022 20:00,Barclays Center,Brooklyn Nets,Portland Trail Blazers,111 - 97
291,6,27/11/2022 20:30,Target Center,Minnesota Timberwolves,Golden State Warriors,114 - 137
292,6,27/11/2022 21:00,Crypto.com Arena,LA Clippers,Indiana Pacers,114 - 100
293,6,27/11/2022 22:00,State Farm Arena,Atlanta Hawks,Miami Heat,98 - 106
294,6,27/11/2022 23:00,TD Garden,Boston Celtics,Washington Wizards,130 - 121
295,6,27/11/2022 23:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,94 - 102
296,6,27/11/2022 23:00,Madison Square Garden,New York Knicks,Memphis Grizzlies,123 - 127
297,6,27/11/2022 23:00,Amway Center,Orlando Magic,Philadelphia 76ers,103 - 133
298,6,28/11/2022 01:00,Fiserv Forum,Milwaukee Bucks,Dallas Mavericks,124 - 115
299,6,29/11/2022 00:00,Wells Fargo Center,Philadelphia 76ers,Atlanta Hawks,104 - 101
300,6,29/11/2022 00:00,Capital One Arena,Washington Wizards,Minnesota Timberwolves,142 - 127
301,6,29/11/2022 00:30,TD Garden,Boston Celtics,Charlotte Hornets,140 - 105
302,6,29/11/2022 00:30,Barclays Center,Brooklyn Nets,Orlando Magic,109 - 102
303,6,29/11/2022 00:30,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,100 - 88
304,6,29/11/2022 01:00,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,105 - 101
305,6,29/11/2022 02:00,Ball Arena,Denver Nuggets,Houston Rockets,129 - 113
306,6,29/11/2022 02:00,Vivint Arena,Utah Jazz,Chicago Bulls,107 - 114
307,6,29/11/2022 03:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,117 - 122
308,6,29/11/2022 03:30,Crypto.com Arena,Los Angeles Lakers,Indiana Pacers,115 - 116
309,6,30/11/2022 00:00,Little Caesars Arena,Detroit Pistons,New York Knicks,110 - 140
310,6,30/11/2022 00:30,American Airlines Center,Dallas Mavericks,Golden State Warriors,116 - 113
311,6,30/11/2022 03:00,Moda Center,Portland Trail Blazers,LA Clippers,112 - 118
312,6,01/12/2022 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Philadelphia 76ers,113 - 85
313,6,01/12/2022 00:00,Amway Center,Orlando Magic,Atlanta Hawks,108 - 125
314,6,01/12/2022 00:30,TD Garden,Boston Celtics,Miami Heat,134 - 121
315,6,01/12/2022 00:30,Barclays Center,Brooklyn Nets,Washington Wizards,113 - 107
316,6,01/12/2022 00:30,Madison Square Garden,New York Knicks,Milwaukee Bucks,103 - 109
317,6,01/12/2022 01:00,Target Center,Minnesota Timberwolves,Memphis Grizzlies,109 - 101
318,6,01/12/2022 01:00,Smoothie King Center,New Orleans Pelicans,Toronto Raptors,126 - 108
319,6,01/12/2022 01:00,Paycom Center,Oklahoma City Thunder,San Antonio Spurs,119 - 111
320,6,01/12/2022 02:00,Ball Arena,Denver Nuggets,Houston Rockets,120 - 100
321,6,01/12/2022 02:00,Footprint Center,Phoenix Suns,Chicago Bulls,132 - 113
322,6,01/12/2022 02:00,Vivint Arena,Utah Jazz,LA Clippers,125 - 112
323,6,01/12/2022 03:00,Golden 1 Center,Sacramento Kings,Indiana Pacers,137 - 114
324,6,01/12/2022 03:30,Crypto.com Arena,Los Angeles Lakers,Portland Trail Blazers,128 - 109
325,7,02/12/2022 00:00,Little Caesars Arena,Detroit Pistons,Dallas Mavericks,131 - 125
326,7,03/12/2022 00:00,Spectrum Center,Charlotte Hornets,Washington Wizards,117 - 116
327,7,03/12/2022 00:30,State Farm Arena,Atlanta Hawks,Denver Nuggets,117 - 109
328,7,03/12/2022 00:30,TD Garden,Boston Celtics,Miami Heat,116 - 120
329,7,03/12/2022 00:30,Barclays Center,Brooklyn Nets,Toronto Raptors,114 - 105
330,7,03/12/2022 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Orlando Magic,107 - 96
331,7,03/12/2022 00:30,Fiserv Forum,Milwaukee Bucks,Los Angeles Lakers,129 - 133
332,7,03/12/2022 01:00,FedExForum,Memphis Grizzlies,Philadelphia 76ers,117 - 109
333,7,03/12/2022 01:00,AT&T Center,San Antonio Spurs,New Orleans Pelicans,99 - 117
334,7,03/12/2022 02:00,Footprint Center,Phoenix Suns,Houston Rockets,121 - 122
335,7,03/12/2022 02:00,Vivint Arena,Utah Jazz,Indiana Pacers,139 - 119
336,7,03/12/2022 03:00,Chase Center,Golden State Warriors,Chicago Bulls,119 - 111
337,7,03/12/2022 17:30,Madison Square Garden,New York Knicks,Dallas Mavericks,100 - 121
338,7,03/12/2022 21:00,Crypto.com Arena,LA Clippers,Sacramento Kings,96 - 123
339,7,03/12/2022 23:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,96 - 105
340,7,04/12/2022 01:00,Scotiabank Arena,Toronto Raptors,Orlando Magic,121 - 108
341,7,04/12/2022 01:00,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,128 - 135
342,7,04/12/2022 01:30,Chase Center,Golden State Warriors,Houston Rockets,120 - 101
343,7,04/12/2022 02:00,Vivint Arena,Utah Jazz,Portland Trail Blazers,111 - 116
344,7,04/12/2022 20:30,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,121 - 106
345,7,04/12/2022 21:00,AT&T Center,San Antonio Spurs,Phoenix Suns,95 - 133
346,7,04/12/2022 23:00,Barclays Center,Brooklyn Nets,Boston Celtics,92 - 103
347,7,04/12/2022 23:00,Little Caesars Arena,Detroit Pistons,Memphis Grizzlies,112 - 122
348,7,04/12/2022 23:00,Madison Square Garden,New York Knicks,Cleveland Cavaliers,92 - 81
349,7,04/12/2022 23:00,Capital One Arena,Washington Wizards,Los Angeles Lakers,119 - 130
350,7,04/12/2022 23:00,Golden 1 Center,Sacramento Kings,Chicago Bulls,110 - 101
351,7,05/12/2022 02:00,Moda Center,Portland Trail Blazers,Indiana Pacers,116 - 100
352,7,06/12/2022 00:00,Spectrum Center,Charlotte Hornets,LA Clippers,117 - 119
353,7,06/12/2022 00:00,Amway Center,Orlando Magic,Milwaukee Bucks,102 - 109
354,7,06/12/2022 00:30,State Farm Arena,Atlanta Hawks,Oklahoma City Thunder,114 - 121
355,7,06/12/2022 00:30,Scotiabank Arena,Toronto Raptors,Boston Celtics,110 - 116
356,7,06/12/2022 01:00,Toyota Center,Houston Rockets,Philadelphia 76ers,132 - 123
357,7,06/12/2022 01:00,FedExForum,Memphis Grizzlies,Miami Heat,101 - 93
358,7,06/12/2022 01:30,American Airlines Center,Dallas Mavericks,Phoenix Suns,130 - 111
359,7,06/12/2022 03:00,Chase Center,Golden State Warriors,Indiana Pacers,104 - 112
360,7,07/12/2022 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Los Angeles Lakers,116 - 102
361,7,07/12/2022 00:30,Miami-Dade Arena,Miami Heat,Detroit Pistons,96 - 116
362,7,07/12/2022 03:00,Ball Arena,Denver Nuggets,Dallas Mavericks,115 - 116
363,7,08/12/2022 00:00,Amway Center,Orlando Magic,LA Clippers,116 - 111
364,7,08/12/2022 00:30,Barclays Center,Brooklyn Nets,Charlotte Hornets,122 - 116
365,7,08/12/2022 00:30,Madison Square Garden,New York Knicks,Atlanta Hawks,113 - 89
366,7,08/12/2022 00:30,Scotiabank Arena,Toronto Raptors,Los Angeles Lakers,126 - 113
367,7,08/12/2022 01:00,United Center,Chicago Bulls,Washington Wizards,115 - 111
368,7,08/12/2022 01:00,FedExForum,Memphis Grizzlies,Oklahoma City Thunder,123 - 102
369,7,08/12/2022 01:00,Fiserv Forum,Milwaukee Bucks,Sacramento Kings,126 - 113
370,7,08/12/2022 01:00,Target Center,Minnesota Timberwolves,Indiana Pacers,121 - 115
371,7,08/12/2022 01:00,Smoothie King Center,New Orleans Pelicans,Detroit Pistons,104 - 98
372,7,08/12/2022 02:00,Vivint Arena,Utah Jazz,Golden State Warriors,124 - 123
373,7,08/12/2022 03:00,Footprint Center,Phoenix Suns,Boston Celtics,98 - 125
374,8,09/12/2022 00:30,Miami-Dade Arena,Miami Heat,LA Clippers,115 - 110
375,8,09/12/2022 01:30,AT&T Center,San Antonio Spurs,Houston Rockets,118 - 109
376,8,09/12/2022 03:00,Moda Center,Portland Trail Blazers,Denver Nuggets,120 - 121
377,8,10/12/2022 00:00,Spectrum Center,Charlotte Hornets,New York Knicks,102 - 121
378,8,10/12/2022 00:00,Gainbridge Fieldhouse,Indiana Pacers,Washington Wizards,121 - 111
